Company,Organization,Date,Headline,Article,Relevance
GOOG,Alphabet Inc,25-02-2015,Google investigated in Italy over tax issues: prosecutors ,MILAN Italian authorities are investigating whether Google violated any tax laws in the country  Milan's prosecutor said on Wednesday  adding that talks were under way with the U.S. company over a possible settlement.,normal
GOOGL,Alphabet Inc,25-02-2015,Google to combine European units amid tougher rules: FT ,Google Inc  is combining its two European arms to meet the challenges of a more combative regulatory landscape on the continent  the Financial Times said.,topStory
GOOGL,Alphabet Inc,25-02-2015,Google expands push into workplace with Android for Work effort ,SAN FRANCISCO  Feb 25 Google Inc   launched an initiative on Wednesday to make smartphones running its Android software more appealing to corporations  a move that could help extend the Internet company's reach into workplaces.,normal
GOOGL,Alphabet Inc,25-02-2015,BlackBerry working with Google to secure Android devices ,TORONTO  Feb 25 BlackBerry Ltd said on Wednesday that it is working with Google Inc to enable its software to manage and secure some of Google's Android devices  a move that builds on BlackBerry's recent partnership with Samsung Electronics Co.,normal
GOOGL,Alphabet Inc,25-02-2015,Google investigated in Italy over tax issues: prosecutors ,MILAN Italian authorities are investigating whether Google violated any tax laws in the country  Milan's prosecutor said on Wednesday  adding that talks were under way with the U.S. company over a possible settlement.,normal
GOOG,Alphabet Inc,26-02-2015,Beset by regulation  Google merges European divisions: source ,Google Inc has combined its two European regional divisions as it seeks to meet the challenges of tougher regulation across the continent  a source close to the company said on Thursday.,topStory
GOOG,Alphabet Inc,26-02-2015,Google to show ads for apps on Google Play ,Feb 26 Google Inc said it will allow some Google Play users to see advertisements for apps in the coming weeks.,normal
GOOG,Alphabet Inc,26-02-2015,Google invests $300 million in U.S. residential solar projects ,SolarCity Corp on Thursday said it created a $750 million fund to finance about 25 000 residential solar projects  with Google Inc investing nearly half the funding.,normal
GOOG,Alphabet Inc,26-02-2015,Google invests $300 million in U.S. residential solar projects ,Feb 26 SolarCity Corp on Thursday said it created a $750 million fund to finance about 25 000 residential solar projects  with Google Inc investing nearly half the funding.,normal
GOOG,Alphabet Inc,26-02-2015,UPDATE 1-Beset by regulation  Google merges European divisions - source ,Feb 26 Google Inc has combined its two European regional divisions as it seeks to meet the challenges of tougher regulation across the continent  a source close to the company said on Thursday.,normal
GOOGL,Alphabet Inc,26-02-2015,Beset by regulation  Google merges European divisions: source ,Google Inc has combined its two European regional divisions as it seeks to meet the challenges of tougher regulation across the continent  a source close to the company said on Thursday.,topStory
