Company,Organization,Date,Headline,Article,Relevance
AMD,Advanced Micro Devices Inc,31-01-2017,BRIEF-AMD reports Q4 and annual 2016 financial results ,* AMD reports fourth quarter and annual 2016 financial results,normal
AMD,Advanced Micro Devices Inc,13-03-2017,BRIEF-Biotime expands OpRegen clinical trial in dry-AMD with opening of first US sites ,* BioTime expands opregen® clinical trial in dry-amd with opening of first us sites,topStory
AMD,Advanced Micro Devices Inc,10-04-2017,BRIEF-OHR Pharmaceutical provides update on ongoing squalamine clinical trial in WET-AMD ,* OHR Pharmaceutical provides update on ongoing squalamine clinical trial in Wet-Amd,topStory
AMD,Advanced Micro Devices Inc,15-06-2017,BRIEF-AMD selected by the U.S. Department of energy to help drive next-generation supercomputing hardware architecture ,* AMD selected by the U.S. Department of energy to help drive next-generation supercomputing hardware architecture Source text for Eikon: Further company coverage:,topStory
AMD,Advanced Micro Devices Inc,25-07-2017,BRIEF-Biotime receives DSMB approval to start third patient cohort in clinical trial for dry-AMD commences patient enrollment in the U.S. ,* Biotime receives DSMB approval to start third patient cohort in clinical trial for dry-AMD; commences patient enrollment in the U.S.,normal
AMD,Advanced Micro Devices Inc,20-09-2017,BRIEF-Regenxbio announces completion of dosing of first cohort in Phase I clinical trial of RGX-314 gene therapy for wet AMD ,* Regenxbio announces completion of dosing of first cohort in Phase I clinical trial of RGX-314 gene therapy for wet AMD,normal
AMD,Advanced Micro Devices Inc,01-11-2017,BRIEF-AMD appoints Mark Durcan to board of directors ,* AMD appoints Mark Durcan to board of directors Source text for Eikon: Further company coverage:,topStory
AMD,Advanced Micro Devices Inc,06-11-2017,BRIEF-AMD delivers semi-custom graphics chip for new Intel processor ,* AMD delivers semi-custom graphics chip for new Intel processor,topStory
AMD,Advanced Micro Devices Inc,06-11-2017,BRIEF-Intel and AMD team up on PC chips to battle Nvidia- WSJ ,* Intel and AMD team up on PC chips to battle Nvidia- WSJ  citing sources‍​,normal
